family,section,label,operation,mapping,size_mb,touch_mb,stride_kb,timed,protected_us,nvhe_us,gap_us,ratio
backing,backing,anon_base-16MB-sparse,munmap,anon_base,16,6.400,16,,48.200000,39.700000,8.500000,1.214106
backing,backing,anon_base-64MB-full,munmap,anon_base,64,64.000,4,,2457.800000,2299.400000,158.400000,1.068888
backing,backing,anon_base-64MB-sparse,munmap,anon_base,64,6.400,16,,64.900000,77.800000,-12.900000,0.834190
backing,backing,anon_base-8MB-sparse,munmap,anon_base,8,6.400,16,,39.700000,67.700000,-28.000000,0.586411
backing,backing,anon_huge-16MB-sparse,munmap,anon_huge,16,6.400,16,,85.300000,83.600000,1.700000,1.020335
backing,backing,anon_huge-64MB-full,munmap,anon_huge,64,64.000,4,,2350.800000,2282.100000,68.700000,1.030104
backing,backing,anon_huge-64MB-sparse,munmap,anon_huge,64,6.400,16,,63.600000,41.000000,22.600000,1.551220
backing,backing,anon_huge-8MB-sparse,munmap,anon_huge,8,6.400,16,,64.500000,66.800000,-2.300000,0.965569
backing,backing,file-16MB-sparse,munmap,file,16,6.400,16,,52.000000,63.600000,-11.600000,0.817610
backing,backing,file-64MB-full,munmap,file,64,64.000,4,,1091.700000,1062.000000,29.700000,1.027966
backing,backing,file-64MB-sparse,munmap,file,64,6.400,16,,41.900000,47.300000,-5.400000,0.885835
backing,backing,file-8MB-sparse,munmap,file,8,6.400,16,,42.900000,55.100000,-12.200000,0.778584
lat_mmap,lat_mmap_precise,file-64-sparse,lat_mmap_precise,file,64,6.4,16,,678.844810,674.095865,4.748945,1.007045
mmap_split,mmap_split,mmap_unmap,mmap_unmap,file,64,6.4,16,mmap_unmap,13.709920,10.594080,3.115840,1.294111
mmap_split,mmap_split,mmap_write_touch_unmap,mmap_write_touch_unmap,file,64,6.4,16,mmap_write_touch_unmap,540.611170,690.694580,-150.083410,0.782707
mmap_split,mmap_split,munmap_after_no_touch,munmap_after_no_touch,file,64,6.4,16,munmap_after_no_touch,2.042225,3.823255,-1.781030,0.534159
mmap_split,mmap_split,munmap_after_write_touch,munmap_after_write_touch,file,64,6.4,16,munmap_after_write_touch,36.152805,45.115345,-8.962540,0.801342
mmap_split,mmap_split,write_touch_cold,write_touch_cold,file,64,6.4,16,write_touch_cold,624.711095,650.715755,-26.004660,0.960037
munmap_bench,munmap_bench,anon_base-64MB-full,mmap_touch_munmap,anon_base,64,,,,19540.900000,17500.300000,2040.600000,1.116604
munmap_bench,munmap_bench,anon_huge-64MB-full,mmap_touch_munmap,anon_huge,64,,,,19660.400000,17940.000000,1720.400000,1.095897
munmap_bench,munmap_bench,file-64MB-full,mmap_touch_munmap,file,64,,,,22510.100000,25333.700000,-2823.600000,0.888544
munmap_threshold,munmap_threshold,file-0.25MB-dense,munmap,file,64,0.250,4,,22.400000,24.600000,-2.200000,0.910569
munmap_threshold,munmap_threshold,file-0.5MB-dense,munmap,file,64,0.500,4,,28.100000,40.300000,-12.200000,0.697270
munmap_threshold,munmap_threshold,file-1.5MB-dense,munmap,file,64,1.500,4,,52.900000,53.800000,-0.900000,0.983271
munmap_threshold,munmap_threshold,file-1.9MB-dense,munmap,file,64,1.900,4,,59.600000,59.600000,0.000000,1.000000
munmap_threshold,munmap_threshold,file-16MB-dense,munmap,file,64,16.000,4,,285.500000,278.600000,6.900000,1.024767
munmap_threshold,munmap_threshold,file-1MB-dense,munmap,file,64,1.000,4,,45.600000,44.500000,1.100000,1.024719
munmap_threshold,munmap_threshold,file-2.1MB-dense,munmap,file,64,2.100,4,,47.100000,62.000000,-14.900000,0.759677
munmap_threshold,munmap_threshold,file-2MB-dense,munmap,file,64,2.000,4,,49.600000,50.500000,-0.900000,0.982178
munmap_threshold,munmap_threshold,file-4MB-dense,munmap,file,64,4.000,4,,87.100000,75.600000,11.500000,1.152116
munmap_threshold,munmap_threshold,file-6.4MB-sparse,munmap,file,64,6.400,16,,54.300000,49.300000,5.000000,1.101420
munmap_threshold,munmap_threshold,file-64MB-dense,munmap,file,64,64.000,4,,1095.700000,1066.300000,29.400000,1.027572
munmap_threshold,munmap_threshold,file-8MB-dense,munmap,file,64,8.000,4,,153.300000,145.200000,8.100000,1.055785
op_sweep,op_sweep,dontneed-file-0.25MB-dense,dontneed,file,64,0.250,4,,20.600000,28.800000,-8.200000,0.715278
