mode,family,source,section,label,operation,mapping,size_mb,touch_mb,stride_kb,timed,iters,mean_us,min_us,per_iter_us,per_touch_ns,huge_anon_kb,huge_shmem_kb,huge_file_kb
protected,lat_mmap,lat_mmap_precise.txt,lat_mmap_precise,file-64-sparse,lat_mmap_precise,file,64,6.4,16,,2,,,1867.330000,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-0.25MB-dense,munmap,file,64,0.250,4,,,101.7,64.6,,,,,
protected,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-6.4MB-sparse,munmap,file,64,6.400,16,,,132.0,120.2,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-0.25MB-dense,munmap,file,64,0.250,4,,,46.3,38.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,munmap-file-6.4MB-sparse,munmap,file,64,6.400,16,,,92.4,86.6,,,,,
protected,backing,backing_munmap_only.txt,backing,file-8MB-sparse,munmap,file,8,6.400,16,,,66.4,59.3,,,,,
protected,backing,backing_munmap_only.txt,backing,file-16MB-sparse,munmap,file,16,6.400,16,,,118.0,115.8,,,,,
protected,backing,backing_munmap_only.txt,backing,file-64MB-sparse,munmap,file,64,6.400,16,,,101.8,95.5,,,,,
protected,backing,backing_munmap_only.txt,backing,file-64MB-full,munmap,file,64,64.000,4,,,1999.3,1464.8,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-8MB-sparse,munmap,anon_base,8,6.400,16,,,232.7,147.0,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-16MB-sparse,munmap,anon_base,16,6.400,16,,,54.8,54.0,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-64MB-sparse,munmap,anon_base,64,6.400,16,,,51.6,51.1,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-64MB-full,munmap,anon_base,64,64.000,4,,,8120.7,3521.6,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-8MB-sparse,munmap,anon_huge,8,6.400,16,,,134.1,132.2,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-16MB-sparse,munmap,anon_huge,16,6.400,16,,,138.5,127.0,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-64MB-sparse,munmap,anon_huge,64,6.400,16,,,152.3,137.9,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-64MB-full,munmap,anon_huge,64,64.000,4,,,7947.0,4787.5,,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,file-64MB-full,mmap_touch_munmap,file,64,,,,2,,,44990.6,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,anon_base-64MB-full,mmap_touch_munmap,anon_base,64,,,,2,,,26773.3,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,anon_huge-64MB-full,mmap_touch_munmap,anon_huge,64,,,,2,,,26706.0,,,,
protected,huge_check,huge_check.txt,huge_check,anon-8MB-sparse,huge_check,anon,8,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-16MB-sparse,huge_check,anon,16,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-64MB-sparse,huge_check,anon,64,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-64MB-full,huge_check,anon,64,64.000,4,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,tmpfs-64MB-sparse,huge_check,shmem,64,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,tmpfs-64MB-full,huge_check,shmem,64,64.000,4,,,,,,,0,0,0
protected,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-6.4MB-sparse,munmap,file,64,6.400,16,,,98.8,94.2,,,,,
protected,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-64MB-full,munmap,file,64,64.000,4,,,1340.8,1158.0,,,,,
protected,mmap_split,mmap_split.csv,mmap_split,mmap_unmap,mmap_unmap,file,64,6.4,16,mmap_unmap,2,,,10.538500,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,write_touch_cold,write_touch_cold,file,64,6.4,16,write_touch_cold,2,,,1459.778000,3560.434,,,
protected,mmap_split,mmap_split.csv,mmap_split,munmap_after_no_touch,munmap_after_no_touch,file,64,6.4,16,munmap_after_no_touch,2,,,1.953500,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,munmap_after_write_touch,munmap_after_write_touch,file,64,6.4,16,munmap_after_write_touch,2,,,51.493000,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,mmap_write_touch_unmap,mmap_write_touch_unmap,file,64,6.4,16,mmap_write_touch_unmap,2,,,1160.359500,2830.145,,,
