Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时54分57秒   999    110283   23.00    7.00    0.00    0.00   30.00     3    136.00      0.00 2668884  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时54分58秒   999    110283   47.00   14.00    0.00    0.00   61.00     3     11.00      0.00 2668884  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时54分59秒   999    110283   46.00    9.00    0.00    0.00   55.00     3     20.00      0.00 2668884  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分00秒   999    110283   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2668884  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分01秒   999    110283   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2668884  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分02秒   999    110283   42.00   13.00    0.00    0.00   55.00     3     42.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分03秒   999    110283   43.00   11.00    0.00    0.00   54.00     3     29.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分04秒   999    110283   45.00   10.00    0.00    0.00   55.00     3      8.00      0.00 2668628  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分05秒   999    110283   46.00    8.00    0.00    0.00   54.00     3     13.00      0.00 2668628  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分06秒   999    110283   44.00   11.00    0.00    0.00   55.00     3     31.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分07秒   999    110283   44.00   12.00    0.00    0.00   56.00     3     48.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分08秒   999    110283   43.00   12.00    0.00    0.00   55.00     3      3.00      0.00 2668628  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分09秒   999    110283   49.00    5.00    0.00    0.00   54.00     3     36.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分10秒   999    110283   40.00   14.00    0.00    0.00   54.00     3     28.00      0.00 2669140  119576   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分11秒   999    110283   44.00   11.00    0.00    0.00   55.00     3     63.00      0.00 2669652  119704   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分12秒   999    110283   35.00   19.00    0.00    0.00   54.00     3    101.00      0.00 2669652  119796   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分13秒   999    110283   32.00   23.00    0.00    0.00   55.00     3     32.00      0.00 2669652  119664   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分14秒   999    110283   40.00   14.00    0.00    0.00   54.00     3     49.00      0.00 2669652  119792   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分15秒   999    110283   42.00   13.00    0.00    0.00   55.00     3     16.00      0.00 2669652  119792   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分16秒   999    110283   41.00   14.00    0.00    0.00   55.00     3     40.00      0.00 2669652  119792   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分17秒   999    110283   42.00   13.00    0.00    0.00   55.00     3     36.00      0.00 2669652  119792   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分18秒   999    110283   46.00    8.00    0.00    0.00   54.00     3     28.00      0.00 2669652  119920   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分19秒   999    110283   44.00   11.00    0.00    0.00   55.00     3     16.00      0.00 2669652  119920   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分20秒   999    110283   44.00   10.00    0.00    0.00   54.00     3      0.00      0.00 2669652  119920   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分21秒   999    110283   44.00   10.00    0.00    0.00   54.00     3      1.00      0.00 2669652  119920   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分22秒   999    110283   44.00   11.00    0.00    0.00   55.00     3     27.00      0.00 2669140  119844   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分23秒   999    110283   40.00   13.00    0.00    0.00   53.00     3      2.00      0.00 2669140  119844   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分24秒   999    110283   29.00   25.00    0.00    0.00   54.00     3      0.00      0.00 2669140  119844   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分25秒   999    110283   42.00   11.00    0.00    0.00   53.00     3      0.00      0.00 2669140  119844   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分26秒   999    110283   45.00    9.00    0.00    0.00   54.00     3      0.00      0.00 2669140  119844   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分27秒   999    110283   44.00   10.00    0.00    0.00   54.00     3     66.00      0.00 2669140  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分28秒   999    110283   39.00   14.00    0.00    0.00   53.00     3     53.00      0.00 2669140  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分29秒   999    110283   44.00   11.00    0.00    0.00   55.00     3     17.00      0.00 2669140  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分30秒   999    110283   41.00   12.00    0.00    0.00   53.00     3     11.00      0.00 2668628  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分31秒   999    110283   38.00   17.00    0.00    0.00   55.00     3     41.00      0.00 2668628  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分32秒   999    110283   42.00   12.00    0.00    0.00   54.00     3     61.00      0.00 2669140  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分33秒   999    110283   48.00    6.00    0.00    0.00   54.00     3     43.00      0.00 2669140  119620   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分34秒   999    110283   41.00   13.00    0.00    0.00   54.00     3     27.00      0.00 2669140  119620   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03时55分35秒   999    110283   41.00   13.00    0.00    0.00   54.00     3     28.00      0.00 2669140  119620   0.37  beam.smp

