mode,family,label,operation,size_mb,run,metric,value,unit
protected,lat_mmap_precise,size-0.5MB-run-1,mmap_write_touch_unmap,0.5,1,per_iter,11.743884,us
protected,lat_mmap_precise,size-0.5MB-run-2,mmap_write_touch_unmap,0.5,2,per_iter,10.881140,us
protected,lat_mmap_precise,size-0.5MB-run-3,mmap_write_touch_unmap,0.5,3,per_iter,13.589449,us
protected,lat_mmap_precise,size-0.5MB-run-4,mmap_write_touch_unmap,0.5,4,per_iter,11.970524,us
protected,lat_mmap_precise,size-0.5MB-run-5,mmap_write_touch_unmap,0.5,5,per_iter,11.065613,us
protected,lat_mmap_precise,size-1MB-run-1,mmap_write_touch_unmap,1,1,per_iter,15.403163,us
protected,lat_mmap_precise,size-1MB-run-2,mmap_write_touch_unmap,1,2,per_iter,15.572388,us
protected,lat_mmap_precise,size-1MB-run-3,mmap_write_touch_unmap,1,3,per_iter,19.364019,us
protected,lat_mmap_precise,size-1MB-run-4,mmap_write_touch_unmap,1,4,per_iter,14.811585,us
protected,lat_mmap_precise,size-1MB-run-5,mmap_write_touch_unmap,1,5,per_iter,15.515172,us
protected,lat_mmap_precise,size-2MB-run-1,mmap_write_touch_unmap,2,1,per_iter,22.386556,us
protected,lat_mmap_precise,size-2MB-run-2,mmap_write_touch_unmap,2,2,per_iter,23.134652,us
protected,lat_mmap_precise,size-2MB-run-3,mmap_write_touch_unmap,2,3,per_iter,28.549658,us
protected,lat_mmap_precise,size-2MB-run-4,mmap_write_touch_unmap,2,4,per_iter,22.587655,us
protected,lat_mmap_precise,size-2MB-run-5,mmap_write_touch_unmap,2,5,per_iter,28.678890,us
protected,lat_mmap_precise,size-4MB-run-1,mmap_write_touch_unmap,4,1,per_iter,52.975572,us
protected,lat_mmap_precise,size-4MB-run-2,mmap_write_touch_unmap,4,2,per_iter,52.971897,us
protected,lat_mmap_precise,size-4MB-run-3,mmap_write_touch_unmap,4,3,per_iter,40.721531,us
protected,lat_mmap_precise,size-4MB-run-4,mmap_write_touch_unmap,4,4,per_iter,52.428073,us
protected,lat_mmap_precise,size-4MB-run-5,mmap_write_touch_unmap,4,5,per_iter,41.569295,us
protected,lat_mmap_precise,size-8MB-run-1,mmap_write_touch_unmap,8,1,per_iter,89.869202,us
protected,lat_mmap_precise,size-8MB-run-2,mmap_write_touch_unmap,8,2,per_iter,85.917237,us
protected,lat_mmap_precise,size-8MB-run-3,mmap_write_touch_unmap,8,3,per_iter,90.665853,us
protected,lat_mmap_precise,size-8MB-run-4,mmap_write_touch_unmap,8,4,per_iter,93.426860,us
protected,lat_mmap_precise,size-8MB-run-5,mmap_write_touch_unmap,8,5,per_iter,95.036906,us
protected,lat_mmap_precise,size-16MB-run-1,mmap_write_touch_unmap,16,1,per_iter,138.631633,us
protected,lat_mmap_precise,size-16MB-run-2,mmap_write_touch_unmap,16,2,per_iter,174.367798,us
protected,lat_mmap_precise,size-16MB-run-3,mmap_write_touch_unmap,16,3,per_iter,173.846639,us
protected,lat_mmap_precise,size-16MB-run-4,mmap_write_touch_unmap,16,4,per_iter,158.376425,us
protected,lat_mmap_precise,size-16MB-run-5,mmap_write_touch_unmap,16,5,per_iter,168.235718,us
protected,lat_mmap_precise,size-64MB-run-1,mmap_write_touch_unmap,64,1,per_iter,630.540637,us
protected,lat_mmap_precise,size-64MB-run-2,mmap_write_touch_unmap,64,2,per_iter,622.693823,us
protected,lat_mmap_precise,size-64MB-run-3,mmap_write_touch_unmap,64,3,per_iter,650.888130,us
protected,lat_mmap_precise,size-64MB-run-4,mmap_write_touch_unmap,64,4,per_iter,650.349257,us
protected,lat_mmap_precise,size-64MB-run-5,mmap_write_touch_unmap,64,5,per_iter,547.031387,us
protected,mmap_split,openclose-0.5MB-run-1,openclose,0.5,1,per_iter,5.403682,us
protected,mmap_split,openclose-0.5MB-run-2,openclose,0.5,2,per_iter,5.777405,us
