metric,unit,mode,pairs,median_end_vs_start_pct,mad_pct,min_pct,max_pct
lat_mem:64,ns,nvhe,5,0.0,0.013798813302057233,-0.1241893197184929,0.013798813302057233
lat_mem:64,ns,protected,5,-0.013804527885141749,0.055229548597657274,-0.09652509652509078,0.15195468987430072
lat_mmap:0.5,us,nvhe,5,-2.7623305531411235,3.325563501936279,-16.1999807818919,2.6361124503354594
lat_mmap:0.5,us,protected,5,0.1582683315210387,4.919792160414582,-5.539268046539513,25.737832202139167
lat_mmap:1,us,nvhe,5,9.369382826205985,11.088513135382883,-13.59249804575956,24.799637355678005
lat_mmap:1,us,protected,5,-12.129776385599378,3.4504265551173035,-15.580202940716681,18.36771449834258
lat_mmap:16,us,nvhe,5,-0.36553187067724924,0.5001322237081163,-1.5909003119458198,1.167239734322978
lat_mmap:16,us,protected,5,-0.5299880841192706,0.11007718882732886,-0.8528446333557094,-0.3371711696941837
lat_mmap:2,us,nvhe,5,-0.9275919533274002,2.8305180694685794,-7.066399111275434,3.6608480160873924
lat_mmap:2,us,protected,5,-3.011860398819499,0.8290309482659408,-5.429072785092092,-1.0671369291150645
lat_mmap:4,us,nvhe,5,-4.071700488183005,1.6381192096165513,-7.064783834800103,0.5494884999713623
lat_mmap:4,us,protected,5,-4.067025611575803,1.0007702688671465,-5.217219420221076,-2.444776549347105
lat_mmap:64,us,nvhe,5,0.10061019921967507,0.527930077653882,-0.7765001475252609,0.8590195456843697
lat_mmap:64,us,protected,5,-1.057098104026688,0.9383810561105488,-9.821981609739627,-0.11871704791613924
lat_mmap:8,us,nvhe,5,-0.9474699695299349,1.174572521098416,-2.122042490628351,1.1241611654289052
lat_mmap:8,us,protected,5,-0.8629023069222197,0.2100158559250498,-1.8545186850074447,-0.47334033459655034
op:dense-1.9,us,nvhe,5,-2.5110782865583547,0.48502908250627197,-7.883817427385898,2.552552552552556
op:dense-1.9,us,protected,5,-5.995004163197326,1.9062304047039014,-9.009009009009006,-2.3519163763066175
op:dense-2.0,us,nvhe,5,-0.3016591251885359,1.0829091251885359,-3.0303030303030276,0.78125
op:dense-2.0,us,protected,5,-5.014326647564471,0.5830120242262149,-22.22222222222221,-1.5128593040847238
op:sparse-6.4,us,nvhe,5,-1.237964236588729,0.8140193475425939,-2.0519835841313228,-0.13642564802182067
op:sparse-6.4,us,protected,5,-2.444347446529893,0.9264390703240477,-4.457779682811836,19.279201042118956
