project,scenario,metric,unit,higher_better,pairs,median_delta,mad,ci95_low,ci95_high,equivalence_threshold,equivalent,same_direction_4of5
geekbench,cpu,wall_time,s,False,5,0.0005371118727299784,0.0009742747604641888,-0.0005625879043601456,0.0018431292238378916,0.03,True,True
rabbitmq,q1-one-fast,consumer_p95,us,False,5,0.021109607577807887,0.023337894830338435,-0.06261414036003132,0.08820498729133752,0.03,False,False
rabbitmq,q1-one-fast,consumer_p99,us,False,5,0.019444769825465613,0.024574714208451143,-0.052069199457259185,0.06492293320878084,0.05,False,False
rabbitmq,q1-one-fast,published,msg/s,True,5,-0.015591624406050664,0.03280803018547551,-0.048399654591526176,0.03334869682867714,0.03,False,False
rabbitmq,q1-one-fast,received,msg/s,True,5,-0.015506241734606352,0.03282810623305754,-0.04833434796766389,0.03321636731295352,0.03,False,False
rabbitmq,q2-reliable,confirm_p95,us,False,5,0.02312719320551282,0.009013967809377244,0.014113225396135576,0.04365667536132456,0.03,False,True
rabbitmq,q2-reliable,confirm_p99,us,False,5,0.032750714292977046,0.004029306689085743,0.01434649054675008,0.03678002098206279,0.05,True,True
rabbitmq,q2-reliable,consumer_p95,us,False,5,0.04313607175952172,0.06037803820292853,-0.15337419820448106,0.5918123944491198,0.03,False,False
rabbitmq,q2-reliable,consumer_p99,us,False,5,0.04234386956110581,0.05995905886676445,-0.15514586199564984,0.5881816429362956,0.05,False,False
rabbitmq,q2-reliable,published,msg/s,True,5,-0.03368848689253412,0.006320671140778278,-0.0400091580333124,-0.020210591275504286,0.03,False,True
rabbitmq,q2-reliable,received,msg/s,True,5,-0.022881389538803143,0.014016459919156565,-0.052795688576652844,-0.008864929619646578,0.03,False,True
rabbitmq,q3-rate50,confirm_p95,us,False,5,0.026567481402762994,0.005245519782293817,0.010683760683760646,0.04086021505376336,0.03,False,True
rabbitmq,q3-rate50,confirm_p99,us,False,5,0.04045155221072427,0.008070599829771874,0.013320647002854402,0.0692307692307692,0.05,False,True
rabbitmq,q3-rate50,consumer_p95,us,False,5,0.026151930261519407,0.006176899050533091,0.01001251564455563,0.04156171284634769,0.03,False,True
rabbitmq,q3-rate50,consumer_p99,us,False,5,0.02433628318584069,0.0024064586244372244,0.008859357696566983,0.04905239687848373,0.05,True,True
rabbitmq,q3-rate50,published,msg/s,True,5,0.0,4.164237528114789e-05,-0.00012491672218517547,4.164237528114789e-05,0.03,True,False
rabbitmq,q3-rate50,received,msg/s,True,5,4.1645843744886335e-05,3.469041498505021e-09,-0.00020819453697540347,4.164931278638484e-05,0.03,True,False
rabbitmq,q3-rate70,confirm_p95,us,False,5,0.11208791208791213,0.05830164174113217,0.05378627034677996,0.24469696969696964,0.03,False,True
rabbitmq,q3-rate70,confirm_p99,us,False,5,0.05434782608695654,0.02160829792133301,0.03273952816562353,0.171691364333163,0.05,False,True
rabbitmq,q3-rate70,consumer_p95,us,False,5,0.04600000000000004,0.016238095238095385,0.029761904761904656,0.12525050100200397,0.03,False,True
rabbitmq,q3-rate70,consumer_p99,us,False,5,0.10919143054595715,0.03337915617772613,0.0539083557951483,0.29456193353474314,0.05,False,True
rabbitmq,q3-rate70,published,msg/s,True,5,0.0,2.975127930504584e-05,-2.975127930504584e-05,2.975127930504584e-05,0.03,True,False
rabbitmq,q3-rate70,received,msg/s,True,5,0.0,2.97530496875531e-05,-8.925914906277033e-05,5.950255861009168e-05,0.03,True,False
rabbitmq,q3-rate85,confirm_p95,us,False,5,0.18848167539267013,0.04059123189805902,0.14621178555604786,0.4051094890510949,0.03,False,True
rabbitmq,q3-rate85,confirm_p99,us,False,5,0.16969696969696968,0.026332423361806523,0.14336454633516316,0.38546182060686895,0.05,False,True
rabbitmq,q3-rate85,consumer_p95,us,False,5,0.1979905437352245,0.03441366260109158,0.16357688113413293,0.4394033561218147,0.03,False,True
rabbitmq,q3-rate85,consumer_p99,us,False,5,0.19016817593790436,0.0441350460338068,0.14603312990409756,0.4205565529622981,0.05,False,True
rabbitmq,q3-rate85,published,msg/s,True,5,2.44875970321079e-05,1.1993435133916819e-09,-4.89763933784193e-05,2.448879637562129e-05,0.03,True,False
rabbitmq,q3-rate85,received,msg/s,True,5,0.0,0.0,0.0,4.897759275124258e-05,0.03,True,False
