phase,metric,unit,pairs,nvhe_boot_median,protected_boot_median,median_penalty_pct,mad_penalty_pct,min_penalty_pct,max_penalty_pct,worse_pairs,better_pairs,exact_sign_p_two_sided,bootstrap95_low_pct,bootstrap95_high_pct,bootstrap_interval_is_descriptive,nvhe_first_median_penalty_pct,protected_first_median_penalty_pct,order_group_gap_pct,pair_index_spearman_rho,pair_index_permutation_p_two_sided
start,lat_mem:64,ns,5,7.244,7.242,-0.0276090557702946,0.08278145064615217,-0.11039050641644677,0.1242579041833336,2,3,1.0,-0.11039050641644677,0.1242579041833336,True,-0.0276090557702946,-0.006847932768855314,-0.020761123001439286,-0.6,0.35
end,lat_mem:64,ns,5,7.239,7.245,0.06907985631390279,0.0414669887176089,-0.12417218543047115,0.1657916551533578,4,1,0.375,-0.12417218543047115,0.1657916551533578,True,0.08288437629506706,-0.02754616455828418,0.11043054085335124,0.8,0.13333333333333333
start,lat_mmap:0.5,us,5,6.42296,7.419852,11.957814753922612,3.2049282046703986,-2.063517959163641,23.56577478605013,4,1,0.375,-2.063517959163641,23.56577478605013,True,10.992937835515093,19.36425887232157,-8.371321036806478,0.3,0.6833333333333333
end,lat_mmap:0.5,us,5,6.309519,7.177304,17.322390463827997,2.700843033821542,13.027782839939285,48.91670823084928,5,0,0.0625,13.027782839939285,48.91670823084928,True,14.621547430006455,33.11954934733864,-18.498001917332186,-0.6,0.35
start,lat_mmap:1,us,5,9.49623,13.057075,29.24410319165918,8.253356326486426,14.484900433422876,45.22505978275575,5,0,0.0625,14.484900433422876,45.22505978275575,True,29.24410319165918,29.854980108089315,-0.6108769164301364,-0.6,0.35
end,lat_mmap:1,us,5,10.83957,11.473281,20.229384880327906,6.041606825080326,2.0494559698206016,26.270991705408232,5,0,0.0625,2.0494559698206016,26.270991705408232,True,22.596634368337476,2.471017684954313,20.125616683383164,-0.1,0.95
start,lat_mmap:16,us,5,84.49742,122.8944,45.62517996608639,0.19979315143599052,43.31915043046184,45.82497311752238,5,0,0.0625,43.31915043046184,45.82497311752238,True,45.74360446718539,45.35373955825408,0.3898649089313153,0.1,0.95
end,lat_mmap:16,us,5,84.188555,122.167479,45.11174232649557,0.4078330635593801,43.576319204416556,45.57355827768737,5,0,0.0625,43.576319204416556,45.57355827768737,True,44.70390926293619,45.459557187480414,-0.7556479245442205,0.5,0.45
start,lat_mmap:2,us,5,16.590808,21.453916,28.275436362960683,1.1535339567482659,27.121902406212417,35.01882325014534,5,0,0.0625,27.121902406212417,35.01882325014534,True,28.275436362960683,31.587665077225214,-3.3122287142645312,-0.9,0.08333333333333333
end,lat_mmap:2,us,5,16.242405,20.807754,28.107592440897754,1.7383540913128854,24.387967497303165,30.535423568354926,5,0,0.0625,24.387967497303165,30.535423568354926,True,29.61212913205957,25.378602923444017,4.2335262086155545,-0.3,0.6833333333333333
