project,scenario,metric,unit,higher_better,pair,first_mode,nvhe_boot_median,protected_boot_median,raw_delta_pct,penalty_pct
geekbench,cpu,wall_time,s,False,1,nvhe,390.64,391.36,0.18431292238378916,0.18431292238378916
geekbench,cpu,wall_time,s,False,2,protected,390.98,391.19,0.05371118727299784,0.05371118727299784
geekbench,cpu,wall_time,s,False,3,nvhe,390.61,390.78,0.043521671232160664,0.043521671232160664
geekbench,cpu,wall_time,s,False,4,protected,391.05,390.83,-0.05625879043601456,-0.05625879043601456
geekbench,cpu,wall_time,s,False,5,nvhe,390.37,390.96,0.15113866331941672,0.15113866331941672
rabbitmq,q1-one-fast,consumer_p95,us,False,1,nvhe,14965.0,14938.0,-0.18042098229201775,-0.18042098229201775
rabbitmq,q1-one-fast,consumer_p95,us,False,2,protected,14557.0,15841.0,8.820498729133753,8.820498729133753
rabbitmq,q1-one-fast,consumer_p95,us,False,3,nvhe,14534.0,15180.0,4.444750240814632,4.444750240814632
rabbitmq,q1-one-fast,consumer_p95,us,False,4,protected,15332.0,14372.0,-6.261414036003132,-6.261414036003132
rabbitmq,q1-one-fast,consumer_p95,us,False,5,nvhe,14780.0,15092.0,2.1109607577807887,2.1109607577807887
rabbitmq,q1-one-fast,consumer_p99,us,False,1,nvhe,17281.0,17215.0,-0.3819223424570306,-0.3819223424570306
rabbitmq,q1-one-fast,consumer_p99,us,False,2,protected,17128.0,18240.0,6.492293320878084,6.492293320878084
rabbitmq,q1-one-fast,consumer_p99,us,False,3,nvhe,16629.0,17361.0,4.401948403391676,4.401948403391676
rabbitmq,q1-one-fast,consumer_p99,us,False,4,protected,17688.0,16767.0,-5.206919945725918,-5.206919945725918
rabbitmq,q1-one-fast,consumer_p99,us,False,5,nvhe,17074.0,17406.0,1.9444769825465613,1.9444769825465613
rabbitmq,q1-one-fast,published,msg/s,True,1,nvhe,68819.0,67746.0,-1.5591624406050664,1.5591624406050664
rabbitmq,q1-one-fast,published,msg/s,True,2,protected,69192.0,67267.0,-2.7821135391374763,2.7821135391374763
rabbitmq,q1-one-fast,published,msg/s,True,3,nvhe,67259.0,69502.0,3.334869682867714,-3.334869682867714
rabbitmq,q1-one-fast,published,msg/s,True,4,protected,67858.0,69417.0,2.2974446638568846,-2.2974446638568846
rabbitmq,q1-one-fast,published,msg/s,True,5,nvhe,70641.0,67222.0,-4.8399654591526176,4.8399654591526176
rabbitmq,q1-one-fast,received,msg/s,True,1,nvhe,68811.0,67744.0,-1.5506241734606352,1.5506241734606352
rabbitmq,q1-one-fast,received,msg/s,True,2,protected,69101.0,67309.0,-2.5933054514406417,2.5933054514406417
rabbitmq,q1-one-fast,received,msg/s,True,3,nvhe,67256.0,69490.0,3.321636731295352,-3.321636731295352
rabbitmq,q1-one-fast,received,msg/s,True,4,protected,67877.0,69427.0,2.283542289729956,-2.283542289729956
rabbitmq,q1-one-fast,received,msg/s,True,5,nvhe,70633.0,67219.0,-4.833434796766389,4.833434796766389
rabbitmq,q2-reliable,confirm_p95,us,False,1,nvhe,155032.0,161108.0,3.919190876722234,3.919190876722234
rabbitmq,q2-reliable,confirm_p95,us,False,2,protected,156449.0,158657.0,1.4113225396135576,1.4113225396135576
rabbitmq,q2-reliable,confirm_p95,us,False,3,nvhe,156990.0,160138.0,2.0052232626281974,2.0052232626281974
rabbitmq,q2-reliable,confirm_p95,us,False,4,protected,157304.0,160942.0,2.312719320551282,2.312719320551282
rabbitmq,q2-reliable,confirm_p95,us,False,5,nvhe,154501.0,161246.0,4.365667536132456,4.365667536132456
rabbitmq,q2-reliable,confirm_p99,us,False,1,nvhe,195420.0,202224.0,3.4817316548971355,3.4817316548971355
rabbitmq,q2-reliable,confirm_p99,us,False,2,protected,197360.0,201459.0,2.076915281718694,2.076915281718694
rabbitmq,q2-reliable,confirm_p99,us,False,3,nvhe,199561.0,202424.0,1.434649054675008,1.434649054675008
rabbitmq,q2-reliable,confirm_p99,us,False,4,protected,196698.0,203140.0,3.2750714292977046,3.2750714292977046
rabbitmq,q2-reliable,confirm_p99,us,False,5,nvhe,195405.0,202592.0,3.678002098206279,3.678002098206279
rabbitmq,q2-reliable,consumer_p95,us,False,1,nvhe,5075159.0,8078701.0,59.18123944491198,59.18123944491198
rabbitmq,q2-reliable,consumer_p95,us,False,2,protected,7419794.0,8020720.0,8.098958003416268,8.098958003416268
rabbitmq,q2-reliable,consumer_p95,us,False,3,nvhe,10530282.0,10984517.0,4.313607175952172,4.313607175952172
rabbitmq,q2-reliable,consumer_p95,us,False,4,protected,11769522.0,9964381.0,-15.337419820448106,-15.337419820448106
rabbitmq,q2-reliable,consumer_p95,us,False,5,nvhe,10013591.0,9840937.0,-1.7241966443406809,-1.7241966443406809
rabbitmq,q2-reliable,consumer_p99,us,False,1,nvhe,5156402.0,8189303.0,58.81816429362956,58.81816429362956
rabbitmq,q2-reliable,consumer_p99,us,False,2,protected,7496490.0,8108351.0,8.161966466973203,8.161966466973203
rabbitmq,q2-reliable,consumer_p99,us,False,3,nvhe,10616956.0,11066519.0,4.234386956110581,4.234386956110581
rabbitmq,q2-reliable,consumer_p99,us,False,4,protected,11838279.0,10001619.0,-15.514586199564985,-15.514586199564985
rabbitmq,q2-reliable,consumer_p99,us,False,5,nvhe,10095208.0,9917379.0,-1.761518930565864,-1.761518930565864
rabbitmq,q2-reliable,published,msg/s,True,1,nvhe,52413.0,50316.0,-4.00091580333124,4.00091580333124
rabbitmq,q2-reliable,published,msg/s,True,2,protected,51854.0,50806.0,-2.0210591275504286,2.0210591275504286
rabbitmq,q2-reliable,published,msg/s,True,3,nvhe,51985.0,50783.0,-2.312205443878046,2.312205443878046
rabbitmq,q2-reliable,published,msg/s,True,4,protected,52226.0,50395.0,-3.5059165932677216,3.5059165932677216
rabbitmq,q2-reliable,published,msg/s,True,5,nvhe,52184.0,50426.0,-3.368848689253412,3.368848689253412
rabbitmq,q2-reliable,received,msg/s,True,1,nvhe,52081.0,49925.0,-4.1397054588045545,4.1397054588045545
rabbitmq,q2-reliable,received,msg/s,True,2,protected,51036.0,50319.0,-1.4048906654126503,1.4048906654126503
rabbitmq,q2-reliable,received,msg/s,True,3,nvhe,50085.0,49641.0,-0.8864929619646578,0.8864929619646578
rabbitmq,q2-reliable,received,msg/s,True,4,protected,50434.0,49280.0,-2.2881389538803143,2.2881389538803143
rabbitmq,q2-reliable,received,msg/s,True,5,nvhe,51955.0,49212.0,-5.279568857665284,5.279568857665284
rabbitmq,q3-rate50,confirm_p95,us,False,1,nvhe,930.0,968.0,4.086021505376336,4.086021505376336
rabbitmq,q3-rate50,confirm_p95,us,False,2,protected,941.0,966.0,2.6567481402762994,2.6567481402762994
rabbitmq,q3-rate50,confirm_p95,us,False,3,nvhe,936.0,946.0,1.0683760683760646,1.0683760683760646
rabbitmq,q3-rate50,confirm_p95,us,False,4,protected,938.0,958.0,2.1321961620469176,2.1321961620469176
rabbitmq,q3-rate50,confirm_p95,us,False,5,nvhe,930.0,958.0,3.010752688172036,3.010752688172036
rabbitmq,q3-rate50,confirm_p99,us,False,1,nvhe,1040.0,1112.0,6.923076923076921,6.923076923076921
rabbitmq,q3-rate50,confirm_p99,us,False,2,protected,1063.0,1106.0,4.045155221072427,4.045155221072427
rabbitmq,q3-rate50,confirm_p99,us,False,3,nvhe,1051.0,1065.0,1.3320647002854402,1.3320647002854402
rabbitmq,q3-rate50,confirm_p99,us,False,4,protected,1050.0,1084.0,3.23809523809524,3.23809523809524
rabbitmq,q3-rate50,confirm_p99,us,False,5,nvhe,1041.0,1086.0,4.3227665706051965,4.3227665706051965
rabbitmq,q3-rate50,consumer_p95,us,False,1,nvhe,794.0,827.0,4.156171284634769,4.156171284634769
rabbitmq,q3-rate50,consumer_p95,us,False,2,protected,803.0,824.0,2.6151930261519407,2.6151930261519407
rabbitmq,q3-rate50,consumer_p95,us,False,3,nvhe,799.0,807.0,1.001251564455563,1.001251564455563
rabbitmq,q3-rate50,consumer_p95,us,False,4,protected,801.0,817.0,1.9975031210986316,1.9975031210986316
rabbitmq,q3-rate50,consumer_p95,us,False,5,nvhe,794.0,815.0,2.6448362720403074,2.6448362720403074
rabbitmq,q3-rate50,consumer_p99,us,False,1,nvhe,897.0,941.0,4.905239687848373,4.905239687848373
rabbitmq,q3-rate50,consumer_p99,us,False,2,protected,912.0,932.0,2.1929824561403466,2.1929824561403466
rabbitmq,q3-rate50,consumer_p99,us,False,3,nvhe,903.0,911.0,0.8859357696566983,0.8859357696566983
rabbitmq,q3-rate50,consumer_p99,us,False,4,protected,904.0,926.0,2.433628318584069,2.433628318584069
rabbitmq,q3-rate50,consumer_p99,us,False,5,nvhe,899.0,923.0,2.6696329254727535,2.6696329254727535
rabbitmq,q3-rate50,published,msg/s,True,1,nvhe,24016.0,24014.0,-0.008327781479011698,0.008327781479011698
