pair,mode,project,scenario,rep,metric,value,unit,higher_better
1,nvhe,redis,r4-bgsave,1,throughput,93937.97,ops/s,True
1,nvhe,redis,r4-bgsave,1,latency_avg,0.715,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p50,0.727,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p99,1.463,ms,False
1,nvhe,redis,r4-bgsave,2,throughput,93936.67,ops/s,True
1,nvhe,redis,r4-bgsave,2,latency_avg,0.726,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p50,0.743,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p95,0.895,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p99,1.487,ms,False
1,nvhe,redis,r4-bgsave,3,throughput,93936.47,ops/s,True
1,nvhe,redis,r4-bgsave,3,latency_avg,0.719,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p99,1.471,ms,False
1,nvhe,redis,r4-bgsave,4,throughput,93935.63,ops/s,True
1,nvhe,redis,r4-bgsave,4,latency_avg,0.717,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p99,1.463,ms,False
1,nvhe,redis,r4-bgsave,5,throughput,93936.84,ops/s,True
1,nvhe,redis,r4-bgsave,5,latency_avg,0.721,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p95,0.887,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p99,1.479,ms,False
1,nvhe,redis,r1-steady,1,throughput,94003.16,ops/s,True
1,nvhe,redis,r1-steady,1,latency_avg,0.683,ms,False
1,nvhe,redis,r1-steady,1,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,1,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,1,latency_p99,1.415,ms,False
1,nvhe,redis,r1-steady,2,throughput,94003.07,ops/s,True
1,nvhe,redis,r1-steady,2,latency_avg,0.685,ms,False
1,nvhe,redis,r1-steady,2,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,2,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,2,latency_p99,1.423,ms,False
1,nvhe,redis,r1-steady,3,throughput,94002.55,ops/s,True
1,nvhe,redis,r1-steady,3,latency_avg,0.685,ms,False
1,nvhe,redis,r1-steady,3,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,3,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,3,latency_p99,1.423,ms,False
1,nvhe,redis,r1-steady,4,throughput,94004.57,ops/s,True
1,nvhe,redis,r1-steady,4,latency_avg,0.688,ms,False
1,nvhe,redis,r1-steady,4,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,4,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,4,latency_p99,1.423,ms,False
1,nvhe,redis,r1-steady,5,throughput,94002.53,ops/s,True
1,nvhe,redis,r1-steady,5,latency_avg,0.683,ms,False
1,nvhe,redis,r1-steady,5,latency_p50,0.703,ms,False
1,nvhe,redis,r1-steady,5,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,5,latency_p99,1.407,ms,False
1,nvhe,redis,r2-pipeline,1,throughput,635273.3,ops/s,True
1,nvhe,redis,r2-pipeline,1,latency_avg,2.517,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p50,2.063,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p95,3.535,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p99,3.727,ms,False
1,nvhe,redis,r2-pipeline,2,throughput,637453.01,ops/s,True
1,nvhe,redis,r2-pipeline,2,latency_avg,2.508,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p50,2.063,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p95,3.519,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p99,3.711,ms,False
1,nvhe,redis,r2-pipeline,3,throughput,635768.47,ops/s,True
1,nvhe,redis,r2-pipeline,3,latency_avg,2.515,ms,False
1,nvhe,redis,r2-pipeline,3,latency_p50,2.063,ms,False
1,nvhe,redis,r2-pipeline,3,latency_p95,3.551,ms,False
1,nvhe,redis,r2-pipeline,3,latency_p99,3.743,ms,False
1,nvhe,redis,r2-pipeline,4,throughput,637267.73,ops/s,True
1,nvhe,redis,r2-pipeline,4,latency_avg,2.509,ms,False
1,nvhe,redis,r2-pipeline,4,latency_p50,2.063,ms,False
1,nvhe,redis,r2-pipeline,4,latency_p95,3.535,ms,False
1,nvhe,redis,r2-pipeline,4,latency_p99,3.727,ms,False
1,nvhe,redis,r2-pipeline,5,throughput,628202.18,ops/s,True
1,nvhe,redis,r2-pipeline,5,latency_avg,2.545,ms,False
1,nvhe,redis,r2-pipeline,5,latency_p50,2.079,ms,False
1,nvhe,redis,r2-pipeline,5,latency_p95,3.599,ms,False
1,nvhe,redis,r2-pipeline,5,latency_p99,3.791,ms,False
1,nvhe,redis,r3-ttl-eviction,1,throughput,93947.35,ops/s,True
1,nvhe,redis,r3-ttl-eviction,1,latency_avg,0.82,ms,False
1,nvhe,redis,r3-ttl-eviction,1,latency_p50,0.831,ms,False
1,nvhe,redis,r3-ttl-eviction,1,latency_p95,0.975,ms,False
1,nvhe,redis,r3-ttl-eviction,1,latency_p99,1.687,ms,False
1,nvhe,redis,r3-ttl-eviction,2,throughput,93947.91,ops/s,True
1,nvhe,redis,r3-ttl-eviction,2,latency_avg,0.821,ms,False
1,nvhe,redis,r3-ttl-eviction,2,latency_p50,0.831,ms,False
1,nvhe,redis,r3-ttl-eviction,2,latency_p95,0.975,ms,False
1,nvhe,redis,r3-ttl-eviction,2,latency_p99,1.687,ms,False
1,nvhe,redis,r3-ttl-eviction,3,throughput,93948.92,ops/s,True
1,nvhe,redis,r3-ttl-eviction,3,latency_avg,0.821,ms,False
1,nvhe,redis,r3-ttl-eviction,3,latency_p50,0.831,ms,False
1,nvhe,redis,r3-ttl-eviction,3,latency_p95,0.975,ms,False
1,nvhe,redis,r3-ttl-eviction,3,latency_p99,1.687,ms,False
1,nvhe,redis,r3-ttl-eviction,4,throughput,93937.9,ops/s,True
1,nvhe,redis,r3-ttl-eviction,4,latency_avg,0.823,ms,False
1,nvhe,redis,r3-ttl-eviction,4,latency_p50,0.839,ms,False
1,nvhe,redis,r3-ttl-eviction,4,latency_p95,0.975,ms,False
1,nvhe,redis,r3-ttl-eviction,4,latency_p99,1.695,ms,False
1,nvhe,redis,r3-ttl-eviction,5,throughput,93936.31,ops/s,True
1,nvhe,redis,r3-ttl-eviction,5,latency_avg,0.821,ms,False
1,nvhe,redis,r3-ttl-eviction,5,latency_p50,0.839,ms,False
1,nvhe,redis,r3-ttl-eviction,5,latency_p95,0.975,ms,False
1,nvhe,redis,r3-ttl-eviction,5,latency_p99,1.695,ms,False
1,nvhe,rabbitmq,q2-reliable,1,published,52576.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,1,received,52019.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,1,consumer_p95,5646779.0,us,False
1,nvhe,rabbitmq,q2-reliable,1,consumer_p99,5729327.0,us,False
1,nvhe,rabbitmq,q2-reliable,1,confirm_p95,155032.0,us,False
1,nvhe,rabbitmq,q2-reliable,1,confirm_p99,195420.0,us,False
1,nvhe,rabbitmq,q2-reliable,2,published,51707.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,2,received,50896.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,2,consumer_p95,8343964.0,us,False
1,nvhe,rabbitmq,q2-reliable,2,consumer_p99,8414410.0,us,False
1,nvhe,rabbitmq,q2-reliable,2,confirm_p95,157908.0,us,False
1,nvhe,rabbitmq,q2-reliable,2,confirm_p99,201873.0,us,False
1,nvhe,rabbitmq,q2-reliable,3,published,52413.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,3,received,52081.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,3,consumer_p95,3919355.0,us,False
1,nvhe,rabbitmq,q2-reliable,3,consumer_p99,4001982.0,us,False
1,nvhe,rabbitmq,q2-reliable,3,confirm_p95,154012.0,us,False
1,nvhe,rabbitmq,q2-reliable,3,confirm_p99,192869.0,us,False
1,nvhe,rabbitmq,q2-reliable,4,published,52364.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,4,received,52456.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,4,consumer_p95,4671884.0,us,False
1,nvhe,rabbitmq,q2-reliable,4,consumer_p99,4779704.0,us,False
1,nvhe,rabbitmq,q2-reliable,4,confirm_p95,155349.0,us,False
1,nvhe,rabbitmq,q2-reliable,4,confirm_p99,198060.0,us,False
1,nvhe,rabbitmq,q2-reliable,5,published,52759.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,5,received,52525.0,msg/s,True
1,nvhe,rabbitmq,q2-reliable,5,consumer_p95,5075159.0,us,False
1,nvhe,rabbitmq,q2-reliable,5,consumer_p99,5156402.0,us,False
1,nvhe,rabbitmq,q2-reliable,5,confirm_p95,152681.0,us,False
1,nvhe,rabbitmq,q2-reliable,5,confirm_p99,192040.0,us,False
1,nvhe,rabbitmq,q3-rate50,1,published,24015.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,1,received,24010.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,1,consumer_p95,811.0,us,False
1,nvhe,rabbitmq,q3-rate50,1,consumer_p99,915.0,us,False
1,nvhe,rabbitmq,q3-rate50,1,confirm_p95,947.0,us,False
1,nvhe,rabbitmq,q3-rate50,1,confirm_p99,1060.0,us,False
1,nvhe,rabbitmq,q3-rate50,2,published,24016.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,2,received,24011.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,2,consumer_p95,813.0,us,False
1,nvhe,rabbitmq,q3-rate50,2,consumer_p99,920.0,us,False
1,nvhe,rabbitmq,q3-rate50,2,confirm_p95,952.0,us,False
1,nvhe,rabbitmq,q3-rate50,2,confirm_p99,1072.0,us,False
1,nvhe,rabbitmq,q3-rate50,3,published,24013.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,3,received,24016.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,3,consumer_p95,792.0,us,False
1,nvhe,rabbitmq,q3-rate50,3,consumer_p99,890.0,us,False
1,nvhe,rabbitmq,q3-rate50,3,confirm_p95,930.0,us,False
1,nvhe,rabbitmq,q3-rate50,3,confirm_p99,1037.0,us,False
1,nvhe,rabbitmq,q3-rate50,4,published,24016.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,4,received,24017.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,4,consumer_p95,722.0,us,False
1,nvhe,rabbitmq,q3-rate50,4,consumer_p99,862.0,us,False
1,nvhe,rabbitmq,q3-rate50,4,confirm_p95,886.0,us,False
1,nvhe,rabbitmq,q3-rate50,4,confirm_p99,1018.0,us,False
1,nvhe,rabbitmq,q3-rate50,5,published,24016.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,5,received,24016.0,msg/s,True
1,nvhe,rabbitmq,q3-rate50,5,consumer_p95,794.0,us,False
1,nvhe,rabbitmq,q3-rate50,5,consumer_p99,897.0,us,False
1,nvhe,rabbitmq,q3-rate50,5,confirm_p95,930.0,us,False
1,nvhe,rabbitmq,q3-rate50,5,confirm_p99,1040.0,us,False
1,nvhe,rabbitmq,q3-rate70,1,published,33611.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,1,received,33607.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,1,consumer_p95,1000.0,us,False
1,nvhe,rabbitmq,q3-rate70,1,consumer_p99,1338.0,us,False
1,nvhe,rabbitmq,q3-rate70,1,confirm_p95,1346.0,us,False
1,nvhe,rabbitmq,q3-rate70,1,confirm_p99,1941.0,us,False
1,nvhe,rabbitmq,q3-rate70,2,published,33613.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,2,received,33607.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,2,consumer_p95,890.0,us,False
1,nvhe,rabbitmq,q3-rate70,2,consumer_p99,1248.0,us,False
1,nvhe,rabbitmq,q3-rate70,2,confirm_p95,1150.0,us,False
1,nvhe,rabbitmq,q3-rate70,2,confirm_p99,1813.0,us,False
1,nvhe,rabbitmq,q3-rate70,3,published,33609.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,3,received,33610.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,3,consumer_p95,997.0,us,False
1,nvhe,rabbitmq,q3-rate70,3,consumer_p99,1385.0,us,False
1,nvhe,rabbitmq,q3-rate70,3,confirm_p95,1365.0,us,False
1,nvhe,rabbitmq,q3-rate70,3,confirm_p99,1992.0,us,False
1,nvhe,rabbitmq,q3-rate70,4,published,33613.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,4,received,33613.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,4,consumer_p95,1046.0,us,False
1,nvhe,rabbitmq,q3-rate70,4,consumer_p99,1518.0,us,False
1,nvhe,rabbitmq,q3-rate70,4,confirm_p95,1480.0,us,False
1,nvhe,rabbitmq,q3-rate70,4,confirm_p99,2092.0,us,False
1,nvhe,rabbitmq,q3-rate70,5,published,33612.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,5,received,33613.0,msg/s,True
1,nvhe,rabbitmq,q3-rate70,5,consumer_p95,1062.0,us,False
1,nvhe,rabbitmq,q3-rate70,5,consumer_p99,1548.0,us,False
1,nvhe,rabbitmq,q3-rate70,5,confirm_p95,1533.0,us,False
1,nvhe,rabbitmq,q3-rate70,5,confirm_p99,2149.0,us,False
1,nvhe,rabbitmq,q3-rate85,1,published,40830.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,1,received,40832.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,1,consumer_p95,1686.0,us,False
1,nvhe,rabbitmq,q3-rate85,1,consumer_p99,2309.0,us,False
1,nvhe,rabbitmq,q3-rate85,1,confirm_p95,2284.0,us,False
1,nvhe,rabbitmq,q3-rate85,1,confirm_p99,3111.0,us,False
1,nvhe,rabbitmq,q3-rate85,2,published,40835.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,2,received,40836.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,2,consumer_p95,1482.0,us,False
1,nvhe,rabbitmq,q3-rate85,2,consumer_p99,2082.0,us,False
1,nvhe,rabbitmq,q3-rate85,2,confirm_p95,2068.0,us,False
1,nvhe,rabbitmq,q3-rate85,2,confirm_p99,2783.0,us,False
1,nvhe,rabbitmq,q3-rate85,3,published,40838.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,3,received,40837.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,3,consumer_p95,1841.0,us,False
1,nvhe,rabbitmq,q3-rate85,3,consumer_p99,2494.0,us,False
1,nvhe,rabbitmq,q3-rate85,3,confirm_p95,2470.0,us,False
1,nvhe,rabbitmq,q3-rate85,3,confirm_p99,3357.0,us,False
1,nvhe,rabbitmq,q3-rate85,4,published,40838.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,4,received,40836.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,4,consumer_p95,1542.0,us,False
1,nvhe,rabbitmq,q3-rate85,4,consumer_p99,2154.0,us,False
1,nvhe,rabbitmq,q3-rate85,4,confirm_p95,2111.0,us,False
1,nvhe,rabbitmq,q3-rate85,4,confirm_p99,2899.0,us,False
1,nvhe,rabbitmq,q3-rate85,5,published,40835.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,5,received,40833.0,msg/s,True
1,nvhe,rabbitmq,q3-rate85,5,consumer_p95,1609.0,us,False
1,nvhe,rabbitmq,q3-rate85,5,consumer_p99,2228.0,us,False
1,nvhe,rabbitmq,q3-rate85,5,confirm_p95,2192.0,us,False
1,nvhe,rabbitmq,q3-rate85,5,confirm_p99,2999.0,us,False
1,nvhe,rabbitmq,q4-join-late,1,published,10009.0,msg/s,True
1,nvhe,rabbitmq,q4-join-late,1,received,10007.0,msg/s,True
