project,scenario,metric,unit,higher_better,pairs,nvhe_boot_median,protected_boot_median,median_raw_delta_pct,median_penalty_pct,mad_penalty_pct,min_penalty_pct,max_penalty_pct,worse_pairs,better_pairs,tied_pairs,exact_sign_p_two_sided,bootstrap95_low_pct,bootstrap95_high_pct,bootstrap_interval_is_descriptive,equivalence_margin_pct,all_observed_pairs_within_margin,bootstrap_interval_within_margin,median_within_boot_rmad_pct,nvhe_first_median_penalty_pct,protected_first_median_penalty_pct,order_group_gap_pct,pair_index_spearman_rho,pair_index_permutation_p_two_sided
geekbench,cpu,wall_time,s,False,5,390.64,390.96,0.05371118727299784,0.05371118727299784,0.09742747604641888,-0.05625879043601456,0.18431292238378916,4,1,0,0.375,-0.05625879043601456,0.18431292238378916,True,3.0,True,True,0.0741948531018938,0.15113866331941672,-0.0012738015815083603,0.15241246490092508,-0.4,0.5166666666666667
rabbitmq,q1-one-fast,consumer_p95,us,False,5,14780.0,15092.0,2.1109607577807887,2.1109607577807887,2.3337894830338435,-6.261414036003132,8.820498729133753,3,2,0,1.0,-6.261414036003132,8.820498729133753,True,3.0,False,False,5.261439979718595,2.1109607577807887,1.2795423465653104,0.8314184112154783,-0.2,0.7833333333333333
rabbitmq,q1-one-fast,consumer_p99,us,False,5,17128.0,17361.0,1.9444769825465613,1.9444769825465613,2.4574714208451143,-5.206919945725918,6.492293320878084,3,2,0,1.0,-5.206919945725918,6.492293320878084,True,5.0,False,False,4.931619099125675,1.9444769825465613,0.642686687576083,1.3017902949704783,-0.2,0.7833333333333333
rabbitmq,q1-one-fast,published,msg/s,True,5,68819.0,67746.0,-1.5591624406050664,1.5591624406050664,3.280803018547551,-3.334869682867714,4.8399654591526176,3,2,0,1.0,-3.334869682867714,4.8399654591526176,True,3.0,False,False,1.5770419485988463,1.5591624406050664,0.24233443764029583,1.3168280029647705,0.2,0.7833333333333333
rabbitmq,q1-one-fast,received,msg/s,True,5,68811.0,67744.0,-1.5506241734606352,1.5506241734606352,3.282810623305754,-3.321636731295352,4.833434796766389,3,2,0,1.0,-3.321636731295352,4.833434796766389,True,3.0,False,False,1.5454582344604095,1.5506241734606352,0.15488158085534276,1.3957425926052924,0.2,0.7833333333333333
rabbitmq,q2-reliable,confirm_p95,us,False,5,156449.0,160942.0,2.312719320551282,2.312719320551282,0.9013967809377244,1.4113225396135576,4.365667536132456,5,0,0,0.0625,1.4113225396135576,4.365667536132456,True,3.0,False,False,0.8704961593877822,3.919190876722234,1.8620209300824198,2.057169946639814,0.4,0.5166666666666667
rabbitmq,q2-reliable,confirm_p99,us,False,5,196698.0,202424.0,3.2750714292977046,3.2750714292977046,0.4029306689085743,1.434649054675008,3.678002098206279,5,0,0,0.0625,1.434649054675008,3.678002098206279,True,5.0,True,True,0.996923971358605,3.4817316548971355,2.6759933555081994,0.8057382993889362,0.3,0.6833333333333333
rabbitmq,q2-reliable,consumer_p95,us,False,5,10013591.0,9840937.0,4.313607175952172,4.313607175952172,6.037803820292853,-15.337419820448106,59.18123944491198,3,2,0,1.0,-15.337419820448106,59.18123944491198,True,3.0,False,False,26.902015670607,4.313607175952172,-3.6192309085159193,7.9328380844680915,-0.9,0.08333333333333333
rabbitmq,q2-reliable,consumer_p99,us,False,5,10095208.0,9917379.0,4.234386956110581,4.234386956110581,5.995905886676445,-15.514586199564985,58.81816429362956,3,2,0,1.0,-15.514586199564985,58.81816429362956,True,5.0,False,False,26.74435777743507,4.234386956110581,-3.676309866295891,7.9106968224064715,-0.9,0.08333333333333333
rabbitmq,q2-reliable,published,msg/s,True,5,52184.0,50426.0,-3.368848689253412,3.368848689253412,0.6320671140778278,2.0210591275504286,4.00091580333124,5,0,0,0.0625,2.0210591275504286,4.00091580333124,True,3.0,False,False,0.3504429019251085,3.368848689253412,2.763487860409075,0.6053608288443368,-0.1,0.95
