metric,unit,mode,pairs,median_end_vs_start_pct,mad_pct,min_pct,max_pct
lat_mem:64,ns,nvhe,5,1.854826931502851,0.26142180019739225,1.2538270884968616,2.8475467289719614
lat_mem:64,ns,protected,5,1.982060185185186,0.14991951024629913,1.1742534067845867,2.8780131482834204
lat_mmap:0.5,us,nvhe,5,-5.744177882456059,4.687772984909589,-17.97712878340497,-1.0564048975464702
lat_mmap:0.5,us,protected,5,-0.2525414108912716,2.5027285678538957,-7.243600694575958,26.761948047574503
lat_mmap:1,us,nvhe,5,-9.851000017590462,4.258187310483208,-14.10918732807367,14.441004903112752
lat_mmap:1,us,protected,5,-3.830048925442542,2.1992266041467423,-6.042326193715974,2.027367881877029
lat_mmap:16,us,nvhe,5,-1.2063379968455301,0.41028834708186634,-1.6166263439273965,0.03481647151566403
lat_mmap:16,us,protected,5,-0.3519894794273837,0.23528853946296335,-0.9514151788618475,0.2375365600559176
lat_mmap:2,us,nvhe,5,-0.6672994160107026,3.1481907150682997,-4.664841322811064,2.531439719781736
lat_mmap:2,us,protected,5,-1.1936151298316489,1.4497824781441127,-5.496973690494644,0.2561673483124638
lat_mmap:4,us,nvhe,5,-2.3569014448267422,2.719740437071172,-5.076641881897914,0.9735863699570135
lat_mmap:4,us,protected,5,-1.8960586448861338,0.5924039617416388,-2.70427413943255,-0.5427474719479353
lat_mmap:64,us,nvhe,5,-0.2342111093096566,0.15343867863776284,-0.5006369315605719,0.27458204020693877
lat_mmap:64,us,protected,5,-2.8170735972341543,2.5760967773575505,-10.172422757863197,-0.2409768198766038
lat_mmap:8,us,nvhe,5,-0.7776862544037422,0.46893110320350706,-2.2859613384612287,0.8237328116884157
lat_mmap:8,us,protected,5,-0.22470184777600988,0.7468191660276791,-2.1537226247339003,0.5221173182516692
op:dense-1.9,us,nvhe,5,-0.3016591251885359,0.3016591251885359,-6.685236768802227,0.0
op:dense-1.9,us,protected,5,-3.797468354430378,0.5877423076504407,-4.749787955894835,-2.9159519725557415
op:dense-2.0,us,nvhe,5,-0.15625000000000222,0.3120132398753861,-2.985074626865669,0.15576323987538387
op:dense-2.0,us,protected,5,-5.300859598853869,2.435097909562778,-25.766174801362073,-2.865761689291091
op:sparse-6.4,us,nvhe,5,-1.7735334242837575,1.495369307454819,-9.125475285171103,-0.27700831024931594
op:sparse-6.4,us,protected,5,-5.296610169491522,2.178377168192247,-8.83074407195421,-2.9130434782608683
