phase,metric,unit,pairs,nvhe_boot_median,protected_boot_median,median_penalty_pct,mad_penalty_pct,min_penalty_pct,max_penalty_pct,worse_pairs,better_pairs,exact_sign_p_two_sided,bootstrap95_low_pct,bootstrap95_high_pct,bootstrap_interval_is_descriptive,nvhe_first_median_penalty_pct,protected_first_median_penalty_pct,order_group_gap_pct,pair_index_spearman_rho,pair_index_permutation_p_two_sided
start,lat_mem:64,ns,5,6.859,6.898,0.5685960052485672,0.2053525928822797,-0.969328703703709,0.7739485981308469,4,1,0.375,-0.969328703703709,0.7739485981308469,True,0.7010369504892422,-0.2003663492275709,0.9014032997168131,0.2,0.7833333333333333
end,lat_mem:64,ns,5,7.029,7.042,0.1849480722720065,0.28433753698875464,-0.09938946471674814,0.9750501864066452,4,1,0.375,-0.09938946471674814,0.9750501864066452,True,0.0567778566359145,0.33725445370259566,-0.28047659706668115,0.5,0.45
start,lat_mmap:0.5,us,5,6.6834,7.542362,16.136367717030264,4.29659934189166,-4.4380471033122815,20.432967058921925,4,1,0.375,-4.4380471033122815,20.432967058921925,True,16.136367717030264,13.484495286459385,2.6518724305708794,0.1,0.95
end,lat_mmap:0.5,us,5,6.073323,7.211923,19.037328966603994,0.6722002771055706,10.960963413931225,57.423621302539,5,0,0.0625,10.960963413931225,57.423621302539,True,19.037328966603994,18.959061336821037,0.07826762978295676,-1.0,0.016666666666666666
start,lat_mmap:1,us,5,10.523767,11.70248,13.429336588289441,11.250528224741018,2.1788083635484234,34.740012556015444,5,0,0.0625,2.1788083635484234,34.740012556015444,True,24.9301224552007,7.804072475918932,17.126049979281767,0.6,0.35
end,lat_mmap:1,us,5,10.249761,11.115259,20.12450293581263,11.68042311775637,0.0880958731345638,43.08018553927011,5,0,0.0625,0.0880958731345638,43.08018553927011,True,20.12450293581263,12.108474229435862,8.016028706376767,0.9,0.08333333333333333
start,lat_mmap:16,us,5,84.63914,122.66506,45.42618232890825,0.6540341403882977,44.39404748205145,46.080216469296545,5,0,0.0625,44.39404748205145,46.080216469296545,True,44.766572645840455,45.7531993991024,-0.9866267532619446,0.4,0.5166666666666667
end,lat_mmap:16,us,5,83.584712,122.524291,45.74540003174543,0.02451222330861924,45.70092674363704,47.649663066446536,5,0,0.0625,45.70092674363704,47.649663066446536,True,45.74540003174543,46.685275437441675,-0.9398754056962417,0.3,0.6833333333333333
start,lat_mmap:2,us,5,16.535332,21.127176,29.707810423741353,1.93791744548124,26.613240027277385,31.920114445872926,5,0,0.0625,26.613240027277385,31.920114445872926,True,27.769892978260113,30.254663706035966,-2.484770727775853,-0.7,0.23333333333333334
end,lat_mmap:2,us,5,16.331428,20.788729,28.514863964239325,2.572485973455077,25.24039716959432,33.08159072721777,5,0,0.0625,25.24039716959432,33.08159072721777,True,25.942377990784248,28.97398646835321,-3.0316084775689625,0.9,0.08333333333333333
