Linux 6.6.30+ (kylin) 	2026年07月15日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分05秒   999    112548   14.00    8.00    0.00    0.00   22.00     0     25.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分06秒   999    112548   53.00   11.00    0.00    0.00   64.00     0     12.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分07秒   999    112548   40.00   13.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分08秒   999    112548   41.00   12.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分09秒   999    112548   43.00   10.00    0.00    0.00   53.00     0     10.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分10秒   999    112548   43.00   11.00    0.00    0.00   54.00     0     16.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分11秒   999    112548   41.00   11.00    0.00    0.00   52.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分12秒   999    112548   45.00    8.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分13秒   999    112548   36.00   17.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分14秒   999    112548   40.00   14.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分15秒   999    112548   42.00   11.00    0.00    0.00   53.00     0      5.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分16秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分17秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分18秒   999    112548   41.00   12.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分19秒   999    112548   42.00   12.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114576   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分20秒   999    112548   39.00   15.00    0.00    0.00   54.00     0     46.00      0.00 2671156  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分21秒   999    112548   42.00   12.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分22秒   999    112548   43.00    9.00    0.00    0.00   52.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分23秒   999    112548   44.00   10.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分24秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分25秒   999    112548   44.00   10.00    0.00    0.00   54.00     0      2.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分26秒   999    112548   40.00   15.00    0.00    0.00   55.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分27秒   999    112548   39.00   15.00    0.00    0.00   54.00     0     30.00      0.00 2671668  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分28秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      1.00      0.00 2671156  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分29秒   999    112548   46.00    9.00    0.00    0.00   55.00     0      2.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分30秒   999    112548   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分31秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分32秒   999    112548   39.00   15.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分33秒   999    112548   44.00    9.00    0.00    0.00   53.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分34秒   999    112548   46.00    8.00    0.00    0.00   54.00     0      0.00      0.00 2670644  114704   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分35秒   999    112548   44.00    9.00    0.00    0.00   53.00     0     46.00      0.00 2670132  113796   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分36秒   999    112548   40.00   14.00    0.00    0.00   54.00     0     10.00      0.00 2669876  113636   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分37秒   999    112548   43.00   10.00    0.00    0.00   53.00     0      1.00      0.00 2669876  113636   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分38秒   999    112548   45.00    9.00    0.00    0.00   54.00     0      7.00      0.00 2669876  113636   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分39秒   999    112548   40.00   13.00    0.00    0.00   53.00     0      0.00      0.00 2669876  113636   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分40秒   999    112548   37.00   17.00    0.00    0.00   54.00     0    124.00      0.00 2670388  113764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分41秒   999    112548   42.00   13.00    0.00    0.00   55.00     0     38.00      0.00 2670388  113764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分42秒   999    112548   44.00    9.00    0.00    0.00   53.00     0      7.00      0.00 2669876  113764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分43秒   999    112548   45.00    9.00    0.00    0.00   54.00     0     24.00      0.00 2670388  113764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分44秒   999    112548   46.00    8.00    0.00    0.00   54.00     0     70.00      0.00 2670388  113764   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分45秒   999    112548   44.00    9.00    0.00    0.00   53.00     0     69.00      0.00 2670388  113892   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分46秒   999    112548   42.00   12.00    0.00    0.00   54.00     0     12.00      0.00 2670388  113892   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分47秒   999    112548   41.00   13.00    0.00    0.00   54.00     0     34.00      0.00 2670388  113892   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分48秒   999    112548   42.00   11.00    0.00    0.00   53.00     0     69.00      0.00 2670900  113892   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分49秒   999    112548   39.00   15.00    0.00    0.00   54.00     0      5.00      0.00 2670388  113892   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分50秒   999    112548   44.00    9.00    0.00    0.00   53.00     0     77.00      0.00 2670388  114020   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分51秒   999    112548   45.00    9.00    0.00    0.00   54.00     0      7.00      0.00 2670388  114148   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分52秒   999    112548   42.00   12.00    0.00    0.00   54.00     0      0.00      0.00 2670388  114148   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分53秒   999    112548   46.00    7.00    0.00    0.00   53.00     0      0.00      0.00 2670388  114148   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分54秒   999    112548   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2670388  114148   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时37分55秒   999    112548   45.00   10.00    0.00    0.00   55.00     0     39.00      0.00 2670388  114148   0.35  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
