
### section=lat_mmap_precise label=size-0.5MB-run-1
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin'
### gate_start_mc=37000 gate_wait_sec=0 gate_ready_mc=37000 freq_before_khz=578000 thermal_before_mc=36000
size_mb=0.5 iters=10000 total_ns=117438843 per_iter_ns=11743.884 per_iter_us=11.743884
### rc=0 freq_after_khz=578000 thermal_after_mc=37000

### section=lat_mmap_precise label=size-0.5MB-run-2
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin'
### gate_start_mc=36000 gate_wait_sec=0 gate_ready_mc=36000 freq_before_khz=578000 thermal_before_mc=36000
size_mb=0.5 iters=10000 total_ns=108811401 per_iter_ns=10881.140 per_iter_us=10.881140
### rc=0 freq_after_khz=1795000 thermal_after_mc=37000

### section=lat_mmap_precise label=size-0.5MB-run-3
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin'
### gate_start_mc=36000 gate_wait_sec=0 gate_ready_mc=36000 freq_before_khz=1795000 thermal_before_mc=37000
size_mb=0.5 iters=10000 total_ns=135894490 per_iter_ns=13589.449 per_iter_us=13.589449
### rc=0 freq_after_khz=578000 thermal_after_mc=37000

### section=lat_mmap_precise label=size-0.5MB-run-4
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin'
### gate_start_mc=37000 gate_wait_sec=0 gate_ready_mc=37000 freq_before_khz=648000 thermal_before_mc=36000
size_mb=0.5 iters=10000 total_ns=119705241 per_iter_ns=11970.524 per_iter_us=11.970524
### rc=0 freq_after_khz=2130000 thermal_after_mc=37000

### section=lat_mmap_precise label=size-0.5MB-run-5
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '0.5' '10000' '/data/local/tmp/pixel-overview-early/lmb_0.5MB.bin'
### gate_start_mc=38000 gate_wait_sec=0 gate_ready_mc=38000 freq_before_khz=1795000 thermal_before_mc=38000
size_mb=0.5 iters=10000 total_ns=110656128 per_iter_ns=11065.613 per_iter_us=11.065613
### rc=0 freq_after_khz=1795000 thermal_after_mc=40000

### section=lat_mmap_precise label=size-1MB-run-1
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin'
### gate_start_mc=38000 gate_wait_sec=0 gate_ready_mc=38000 freq_before_khz=1065000 thermal_before_mc=38000
size_mb=1 iters=8000 total_ns=123225301 per_iter_ns=15403.163 per_iter_us=15.403163
### rc=0 freq_after_khz=1795000 thermal_after_mc=40000

### section=lat_mmap_precise label=size-1MB-run-2
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin'
### gate_start_mc=37000 gate_wait_sec=0 gate_ready_mc=37000 freq_before_khz=648000 thermal_before_mc=37000
size_mb=1 iters=8000 total_ns=124579102 per_iter_ns=15572.388 per_iter_us=15.572388
### rc=0 freq_after_khz=1795000 thermal_after_mc=38000

### section=lat_mmap_precise label=size-1MB-run-3
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin'
### gate_start_mc=38000 gate_wait_sec=0 gate_ready_mc=38000 freq_before_khz=648000 thermal_before_mc=37000
size_mb=1 iters=8000 total_ns=154912150 per_iter_ns=19364.019 per_iter_us=19.364019
### rc=0 freq_after_khz=1549000 thermal_after_mc=40000

### section=lat_mmap_precise label=size-1MB-run-4
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin'
### gate_start_mc=40000 gate_wait_sec=5 gate_ready_mc=36000 freq_before_khz=910000 thermal_before_mc=38000
size_mb=1 iters=8000 total_ns=118492676 per_iter_ns=14811.585 per_iter_us=14.811585
### rc=0 freq_after_khz=2600000 thermal_after_mc=38000

### section=lat_mmap_precise label=size-1MB-run-5
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '1' '8000' '/data/local/tmp/pixel-overview-early/lmb_1MB.bin'
### gate_start_mc=36000 gate_wait_sec=0 gate_ready_mc=36000 freq_before_khz=1795000 thermal_before_mc=37000
size_mb=1 iters=8000 total_ns=124121378 per_iter_ns=15515.172 per_iter_us=15.515172
### rc=0 freq_after_khz=1795000 thermal_after_mc=38000

### section=lat_mmap_precise label=size-2MB-run-1
### command='/data/local/tmp/pixel-overview-early/lat_mmap_precise' '2' '5000' '/data/local/tmp/pixel-overview-early/lmb_2MB.bin'
### gate_start_mc=37000 gate_wait_sec=0 gate_ready_mc=37000 freq_before_khz=578000 thermal_before_mc=37000
size_mb=2 iters=5000 total_ns=111932780 per_iter_ns=22386.556 per_iter_us=22.386556
### rc=0 freq_after_khz=1795000 thermal_after_mc=38000

### section=lat_mmap_precise label=size-2MB-run-2
