project,scenario,metric,unit,higher_better,pairs,median_delta,mad,ci95_low,ci95_high,equivalence_threshold,equivalent,same_direction_4of5
rabbitmq,q1-one-fast,consumer_p95,us,False,1,0.08148455318266645,0.0,0.08148455318266645,0.08148455318266645,0.03,False,False
rabbitmq,q1-one-fast,consumer_p99,us,False,1,0.05576031387468783,0.0,0.05576031387468783,0.05576031387468783,0.05,False,False
rabbitmq,q1-one-fast,published,msg/s,True,1,-0.02621040090717275,0.0,-0.02621040090717275,-0.02621040090717275,0.03,False,False
rabbitmq,q1-one-fast,received,msg/s,True,1,-0.026536352937799546,0.0,-0.026536352937799546,-0.026536352937799546,0.03,False,False
rabbitmq,q2-reliable,confirm_p95,us,False,1,0.013604670222289394,0.0,0.013604670222289394,0.013604670222289394,0.03,False,False
rabbitmq,q2-reliable,confirm_p99,us,False,1,0.008363656384357876,0.0,0.008363656384357876,0.008363656384357876,0.05,False,False
rabbitmq,q2-reliable,consumer_p95,us,False,1,-0.06823413739278306,0.0,-0.06823413739278306,-0.06823413739278306,0.03,False,False
rabbitmq,q2-reliable,consumer_p99,us,False,1,-0.06768059148785066,0.0,-0.06768059148785066,-0.06768059148785066,0.05,False,False
rabbitmq,q2-reliable,published,msg/s,True,1,-0.018014341514603904,0.0,-0.018014341514603904,-0.018014341514603904,0.03,False,False
rabbitmq,q2-reliable,received,msg/s,True,1,-0.014509827020871335,0.0,-0.014509827020871335,-0.014509827020871335,0.03,False,False
rabbitmq,q3-rate50,confirm_p95,us,False,1,0.023958333333333304,0.0,0.023958333333333304,0.023958333333333304,0.03,False,False
rabbitmq,q3-rate50,confirm_p99,us,False,1,0.07030527289546717,0.0,0.07030527289546717,0.07030527289546717,0.05,False,False
rabbitmq,q3-rate50,consumer_p95,us,False,1,0.021897810218978186,0.0,0.021897810218978186,0.021897810218978186,0.03,False,False
rabbitmq,q3-rate50,consumer_p99,us,False,1,0.03347732181425478,0.0,0.03347732181425478,0.03347732181425478,0.05,False,False
rabbitmq,q3-rate50,published,msg/s,True,1,-8.195713641767632e-05,0.0,-8.195713641767632e-05,-8.195713641767632e-05,0.03,False,False
rabbitmq,q3-rate50,received,msg/s,True,1,-0.00024585125998766166,0.0,-0.00024585125998766166,-0.00024585125998766166,0.03,False,False
rabbitmq,q3-rate70,confirm_p95,us,False,1,0.013614703880190593,0.0,0.013614703880190593,0.013614703880190593,0.03,False,False
rabbitmq,q3-rate70,confirm_p99,us,False,1,0.027900146842878115,0.0,0.027900146842878115,0.027900146842878115,0.05,False,False
rabbitmq,q3-rate70,consumer_p95,us,False,1,-0.00191387559808609,0.0,-0.00191387559808609,-0.00191387559808609,0.03,False,False
rabbitmq,q3-rate70,consumer_p99,us,False,1,0.05540166204986141,0.0,0.05540166204986141,0.05540166204986141,0.05,False,False
rabbitmq,q3-rate70,published,msg/s,True,1,-2.9262868346369153e-05,0.0,-2.9262868346369153e-05,-2.9262868346369153e-05,0.03,False,False
rabbitmq,q3-rate70,received,msg/s,True,1,2.9265437518244397e-05,0.0,2.9265437518244397e-05,2.9265437518244397e-05,0.03,False,False
rabbitmq,q3-rate85,confirm_p95,us,False,1,0.17653890824622542,0.0,0.17653890824622542,0.17653890824622542,0.03,False,False
