pair,mode,project,scenario,rep,metric,value,unit,higher_better
1,nvhe,redis,r4-bgsave,1,throughput,93937.72,ops/s,True
1,nvhe,redis,r4-bgsave,1,latency_avg,0.718,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p95,0.887,ms,False
1,nvhe,redis,r4-bgsave,1,latency_p99,1.463,ms,False
1,nvhe,redis,r4-bgsave,2,throughput,93937.92,ops/s,True
1,nvhe,redis,r4-bgsave,2,latency_avg,0.718,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p50,0.727,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,2,latency_p99,1.463,ms,False
1,nvhe,redis,r4-bgsave,3,throughput,93937.42,ops/s,True
1,nvhe,redis,r4-bgsave,3,latency_avg,0.719,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p95,0.887,ms,False
1,nvhe,redis,r4-bgsave,3,latency_p99,1.471,ms,False
1,nvhe,redis,r4-bgsave,4,throughput,93940.39,ops/s,True
1,nvhe,redis,r4-bgsave,4,latency_avg,0.72,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,4,latency_p99,1.471,ms,False
1,nvhe,redis,r4-bgsave,5,throughput,93940.11,ops/s,True
1,nvhe,redis,r4-bgsave,5,latency_avg,0.717,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p50,0.735,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p95,0.879,ms,False
1,nvhe,redis,r4-bgsave,5,latency_p99,1.463,ms,False
1,nvhe,redis,r1-steady,1,throughput,94003.34,ops/s,True
1,nvhe,redis,r1-steady,1,latency_avg,0.686,ms,False
1,nvhe,redis,r1-steady,1,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,1,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,1,latency_p99,1.423,ms,False
1,nvhe,redis,r1-steady,2,throughput,94005.25,ops/s,True
1,nvhe,redis,r1-steady,2,latency_avg,0.688,ms,False
1,nvhe,redis,r1-steady,2,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,2,latency_p95,0.783,ms,False
1,nvhe,redis,r1-steady,2,latency_p99,1.423,ms,False
1,nvhe,redis,r1-steady,3,throughput,94001.97,ops/s,True
1,nvhe,redis,r1-steady,3,latency_avg,0.685,ms,False
1,nvhe,redis,r1-steady,3,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,3,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,3,latency_p99,1.415,ms,False
1,nvhe,redis,r1-steady,4,throughput,94005.3,ops/s,True
1,nvhe,redis,r1-steady,4,latency_avg,0.683,ms,False
1,nvhe,redis,r1-steady,4,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,4,latency_p95,0.783,ms,False
1,nvhe,redis,r1-steady,4,latency_p99,1.415,ms,False
1,nvhe,redis,r1-steady,5,throughput,94002.46,ops/s,True
1,nvhe,redis,r1-steady,5,latency_avg,0.684,ms,False
1,nvhe,redis,r1-steady,5,latency_p50,0.711,ms,False
1,nvhe,redis,r1-steady,5,latency_p95,0.775,ms,False
1,nvhe,redis,r1-steady,5,latency_p99,1.423,ms,False
1,nvhe,redis,r2-pipeline,1,throughput,631296.34,ops/s,True
1,nvhe,redis,r2-pipeline,1,latency_avg,2.532,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p50,2.079,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p95,3.583,ms,False
1,nvhe,redis,r2-pipeline,1,latency_p99,3.775,ms,False
1,nvhe,redis,r2-pipeline,2,throughput,633948.74,ops/s,True
1,nvhe,redis,r2-pipeline,2,latency_avg,2.522,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p50,2.079,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p95,3.551,ms,False
1,nvhe,redis,r2-pipeline,2,latency_p99,3.743,ms,False
1,nvhe,redis,r2-pipeline,3,throughput,632945.94,ops/s,True
1,nvhe,redis,r2-pipeline,3,latency_avg,2.526,ms,False
1,nvhe,redis,r2-pipeline,3,latency_p50,2.063,ms,False
1,nvhe,redis,r2-pipeline,3,latency_p95,3.583,ms,False
