Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分32秒   999    105352   18.00    9.00    0.00    0.00   27.00     2     19.00      0.00 2668620  116748   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分33秒   999    105352   45.00   14.00    0.00    0.00   59.00     2      3.00      0.00 2668108  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分34秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668108  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分35秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2668108  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分36秒   999    105352   46.00   10.00    0.00    0.00   56.00     2      0.00      0.00 2668108  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分37秒   999    105352   46.00    8.00    0.00    0.00   54.00     2     35.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分38秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     17.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分39秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     24.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分40秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     10.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分41秒   999    105352   43.00   12.00    0.00    0.00   55.00     2     37.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分42秒   999    105352   44.00   10.00    0.00    0.00   54.00     2     79.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分43秒   999    105352   44.00   10.00    0.00    0.00   54.00     2     52.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分44秒   999    105352   44.00   10.00    0.00    0.00   54.00     2     27.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分45秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     31.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分46秒   999    105352   45.00   10.00    0.00    0.00   55.00     2     81.00      0.00 2668620  116336   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分47秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     13.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分48秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分49秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分50秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分51秒   999    105352   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分52秒   999    105352   44.00   12.00    0.00    0.00   56.00     2     17.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分53秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分54秒   999    105352   41.00   13.00    0.00    0.00   54.00     2      5.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分55秒   999    105352   40.00   15.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分56秒   999    105352   42.00   14.00    0.00    0.00   56.00     2      2.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分57秒   999    105352   40.00   14.00    0.00    0.00   54.00     2     19.00      0.00 2669132  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分58秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时53分59秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分00秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分01秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116464   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分02秒   999    105352   46.00    9.00    0.00    0.00   55.00     2     50.00      0.00 2669132  116384   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分03秒   999    105352   43.00   12.00    0.00    0.00   55.00     2     20.00      0.00 2669132  116384   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分04秒   999    105352   44.00   10.00    0.00    0.00   54.00     2     17.00      0.00 2669132  116384   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分05秒   999    105352   44.00   12.00    0.00    0.00   56.00     2     11.00      0.00 2669132  116384   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分06秒   999    105352   41.00   14.00    0.00    0.00   55.00     2     20.00      0.00 2669132  116384   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分07秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     28.00      0.00 2669132  116512   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分08秒   999    105352   46.00    9.00    0.00    0.00   55.00     2     24.00      0.00 2669132  116512   0.36  beam.smp

