Linux 6.6.30+ (kylin) 	2026年07月21日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分52秒   999    120719   14.00    2.00    0.00    0.00   16.00     0     28.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分53秒   999    120719   57.00   14.00    0.00    0.00   71.00     0     28.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分54秒   999    120719   43.00   13.00    0.00    0.00   56.00     0      5.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分55秒   999    120719   41.00   14.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分56秒   999    120719   44.00   11.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分57秒   999    120719   41.00   15.00    0.00    0.00   56.00     0     15.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分58秒   999    120719   45.00   10.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时17分59秒   999    120719   43.00   12.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分00秒   999    120719   43.00   12.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分01秒   999    120719   39.00   17.00    0.00    0.00   56.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分02秒   999    120719   43.00   13.00    0.00    0.00   56.00     0      2.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分03秒   999    120719   45.00   11.00    0.00    0.00   56.00     0      7.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分04秒   999    120719   43.00   12.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分05秒   999    120719   44.00   11.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分06秒   999    120719   41.00   14.00    0.00    0.00   55.00     0      0.00      0.00 2668856  119036   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分07秒   999    120719   47.00    9.00    0.00    0.00   56.00     0     40.00      0.00 2669368  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分08秒   999    120719   37.00   18.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分09秒   999    120719   41.00   14.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分10秒   999    120719   39.00   15.00    0.00    0.00   54.00     0      0.00      0.00 2669368  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分11秒   999    120719   41.00   13.00    0.00    0.00   54.00     0      0.00      0.00 2669368  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分12秒   999    120719   35.00   21.00    0.00    0.00   56.00     0     17.00      0.00 2669368  119292   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分13秒   999    120719   34.00   19.00    0.00    0.00   53.00     0      0.00      0.00 2669368  119292   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分14秒   999    120719   44.00   11.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119292   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分15秒   999    120719   44.00   10.00    0.00    0.00   54.00     0      0.00      0.00 2669368  119292   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分16秒   999    120719   47.00    8.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119292   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分17秒   999    120719   42.00   14.00    0.00    0.00   56.00     0     55.00      0.00 2669368  119420   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分18秒   999    120719   40.00   14.00    0.00    0.00   54.00     0     11.00      0.00 2669368  119420   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分19秒   999    120719   37.00   18.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119420   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分20秒   999    120719   49.00    6.00    0.00    0.00   55.00     0      0.00      0.00 2669368  119420   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分21秒   999    120719   45.00    9.00    0.00    0.00   54.00     0      0.00      0.00 2669368  119420   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时18分22秒   999    120719   42.00   13.00    0.00    0.00   55.00     0     48.00      0.00 2669880  119676   0.37  beam.smp

