Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分14秒   999    133589    0.00    0.00    0.00    0.00    0.00     3      4.00      0.00 2669956  117152   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分15秒   999    133589  170.00   31.00    0.00    0.00  201.00     3  42257.00      0.00 2705796  141028   0.43  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分16秒   999    133589  171.00   42.00    0.00    0.00  213.00     3  95848.00      0.00 2727884  161256   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分17秒   999    133589  184.00   36.00    0.00    0.00  220.00     3  92406.00      0.00 2717276  154872   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分18秒   999    133589  172.00   39.00    0.00    0.00  211.00     3  86665.00      0.00 2720420  155420   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分19秒   999    133589  174.00   42.00    0.00    0.00  216.00     3  89429.00      0.00 2718776  156084   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分20秒   999    133589  180.00   36.00    0.00    0.00  216.00     3  87691.00      0.00 2730520  161480   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分21秒   999    133589  177.00   40.00    0.00    0.00  217.00     3  83922.00      0.00 2718748  151068   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
14时06分22秒   999    133589  172.00   42.00    0.00    0.00  214.00     3  90346.00      0.00 2727068  156096   0.48  beam.smp

