pair,mode,rep,result_id,url,save_as
1,nvhe,1,18695536,https://browser.geekbench.com/v6/cpu/18695536,18695536.html
1,nvhe,2,18695586,https://browser.geekbench.com/v6/cpu/18695586,18695586.html
1,nvhe,3,18695634,https://browser.geekbench.com/v6/cpu/18695634,18695634.html
1,nvhe,4,18695686,https://browser.geekbench.com/v6/cpu/18695686,18695686.html
1,nvhe,5,18695724,https://browser.geekbench.com/v6/cpu/18695724,18695724.html
1,protected,1,18698856,https://browser.geekbench.com/v6/cpu/18698856,18698856.html
1,protected,2,18698924,https://browser.geekbench.com/v6/cpu/18698924,18698924.html
1,protected,3,18699001,https://browser.geekbench.com/v6/cpu/18699001,18699001.html
1,protected,4,18699072,https://browser.geekbench.com/v6/cpu/18699072,18699072.html
1,protected,5,18699131,https://browser.geekbench.com/v6/cpu/18699131,18699131.html
