Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分52秒   999    133796   15.00    5.00    0.00    0.00   20.00     2     19.00      0.00 2669648  119816   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分53秒   999    133796   56.00   13.00    0.00    0.00   69.00     2     57.00      0.00 2670160  119816   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分54秒   999    133796   45.00    7.00    0.00    0.00   52.00     2      4.00      0.00 2669648  119816   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分55秒   999    133796   41.00   12.00    0.00    0.00   53.00     2      0.00      0.00 2669648  119816   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分56秒   999    133796   42.00   11.00    0.00    0.00   53.00     2      0.00      0.00 2669648  119816   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分57秒   999    133796   45.00    9.00    0.00    0.00   54.00     2     82.00      0.00 2670160  119944   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分58秒   999    133796   43.00    9.00    0.00    0.00   52.00     2    108.00      0.00 2670160  120072   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时40分59秒   999    133796   42.00   11.00    0.00    0.00   53.00     2     16.00      0.00 2670160  120072   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时41分00秒   999    133796   41.00   12.00    0.00    0.00   53.00     2      1.00      0.00 2669648  120072   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
